id,ID,Time,'Training,quaternion-1,quaternion-2,quaternion-3,quaternion-4,outputs-1,outputs-2,outputs-3,outputs-4,outputs-5
1,239,2021/10/04 23:31:04:164,2,-0.087376,0.443711,-0.869404,0.199054,0,0,0,0,0
2,240,2021/10/04 23:31:04:181,2,-0.086973,0.444032,-0.869341,0.19879,0,0,0,0,0
3,241,2021/10/04 23:31:04:195,2,-0.086869,0.443945,-0.869404,0.198755,0,0,0,0,0
4,242,2021/10/04 23:31:04:212,2,-0.087263,0.443321,-0.869616,0.199045,0,0,0,0,0
5,243,2021/10/04 23:31:04:227,2,-0.087415,0.443015,-0.869727,0.199175,0,0,0,0,0
6,244,2021/10/04 23:31:04:402,2,-0.087411,0.442869,-0.869788,0.199235,0,0,0,0,0
7,245,2021/10/04 23:31:04:402,2,-0.087473,0.44262,-0.869911,0.199228,0,0,0,0,0
8,246,2021/10/04 23:31:04:403,2,-0.087736,0.442309,-0.869904,0.199833,0,0,0,0,0
9,247,2021/10/04 23:31:04:403,2,-0.08756,0.442173,-0.869927,0.200108,0,0,0,0,0
10,248,2021/10/04 23:31:04:403,2,-0.086622,0.442476,-0.869854,0.200165,0,0,0,0,0
11,249,2021/10/04 23:31:04:403,2,-0.085953,0.442963,-0.869736,0.199888,0,0,0,0,0
12,250,2021/10/04 23:31:04:404,2,-0.086321,0.443425,-0.869354,0.200368,0,0,0,0,0
13,251,2021/10/04 23:31:04:404,2,-0.086868,0.443353,-0.869251,0.200735,0,0,0,0,0
14,252,2021/10/04 23:31:04:404,2,-0.087163,0.443095,-0.869304,0.200948,0,0,0,0,0
15,253,2021/10/04 23:31:04:404,2,-0.087112,0.442262,-0.869718,0.201016,0,0,0,0,0
16,254,2021/10/04 23:31:04:408,2,-0.086227,0.441633,-0.870195,0.200714,0,0,0,0,0
17,255,2021/10/04 23:31:04:424,2,-0.08561,0.441384,-0.870471,0.200328,0,0,0,0,0
18,256,2021/10/04 23:31:04:441,2,-0.085487,0.441622,-0.870425,0.200056,0,0,0,0,0
19,257,2021/10/04 23:31:04:458,2,-0.085617,0.442488,-0.870071,0.199625,0,0,0,0,0
20,258,2021/10/04 23:31:04:473,2,-0.086166,0.442914,-0.869821,0.199537,0,0,0,0,0
21,259,2021/10/04 23:31:04:489,2,-0.086865,0.442983,-0.869694,0.199635,0,0,0,0,0
22,260,2021/10/04 23:31:04:506,2,-0.087475,0.44273,-0.869698,0.199911,0,0,0,0,0
23,261,2021/10/04 23:31:04:523,2,-0.087871,0.442262,-0.869836,0.200168,0,0,0,0,0
24,262,2021/10/04 23:31:04:538,2,-0.088107,0.441289,-0.870267,0.200341,0,0,0,0,0
25,263,2021/10/04 23:31:04:554,2,-0.0881,0.440812,-0.870532,0.200244,0,0,0,0,0
26,264,2021/10/04 23:31:04:572,2,-0.088323,0.4401,-0.870868,0.200249,0,0,0,0,0
27,265,2021/10/04 23:31:04:588,2,-0.088544,0.439928,-0.870924,0.200287,0,0,0,0,0
28,266,2021/10/04 23:31:04:607,2,-0.08874,0.439922,-0.870851,0.200529,0,0,0,0,0
29,267,2021/10/04 23:31:04:622,2,-0.089005,0.439677,-0.870998,0.200313,0,0,0,0,0
30,268,2021/10/04 23:31:04:637,2,-0.08955,0.439127,-0.871164,0.200552,0,0,0,0,0
31,269,2021/10/04 23:31:04:651,2,-0.090074,0.438487,-0.871342,0.200943,0,0,0,0,0
32,270,2021/10/04 23:31:04:668,2,-0.089888,0.43776,-0.871723,0.200961,0,0,0,0,0
33,271,2021/10/04 23:31:04:685,2,-0.089147,0.437476,-0.872048,0.200501,0,0,0,0,0
